fid,Prosopis Height
56,650
63,500
75,500
9,350
57,350
84,340
55,330
10,320
51,290
71,270
58,115
36,620
23,430
39,430
89,410
90,390
21,380
88,380
95,365
46,340
94,340
14,330
91,330
93,330
47,320
50,320
62,320
70,320
97,310
96,290
48,280
13,260
24,260
42,230
32,220
87,220
81,140
92,110
85,65
1,650
2,160
3,145
4,540
5,500
6,315
7,315
8,350
9,460
10,450
11,300
12,320
13,350
14,600
15,310
16,240
17,300
18,100
19,200
20,200
21,200
22,95
23,145
24,350
25,350
26,300
27,140
28,240
29,330
30,150
31,550
32,300
33,300
34,550
35,200
36,250
37,250
38,265
39,250
40,150
41,260
42,55
43,120
44,220
45,340
46,340
47,250
48,120
49,340
50,340
51,380
52,120
53,410
54,210
55,230
56,350
57,200
58,220
59,225
60,100
61,420
62,180
63,180
64,400
65,400
66,210
67,370
68,260
69,230
70,210
71,350
72,350
73,360
74,360
76,180
77,180
78,400
79,520
80,300
81,280
82,300
83,200
84,280
85,275
86,395
87,295
88,290
89,295
90,250
91,255
92,155
93,300
94,150
95,150
96,210
97,160
98,145
99,400
100,160
101,260
102,155
103,175
104,120
105,120
106,70
107,165
108,220
109,230
110,220
111,160
112,165
113,160
114,130
115,180
116,180
117,270
118,150
119,450
120,450
121,150
122,300
123,110
124,200
125,110
126,125
127,110
128,120
129,260
1,220
2,210
3,340
4,480
5,145
6,265
7,500
8,420
9,425
10,115
11,210
12,130
13,100
14,70
15,50
16,200
17,250
18,50
19,200
20,270
21,170
22,210
23,260
24,230
25,170
26,240
27,320
28,550
29,405
30,395
31,650
32,450
33,410
34,150
35,435
36,630
37,310
38,305
39,310
40,750
41,230
42,400
43,160
44,160
45,170
46,135
47,175
48,300
49,280
50,650
51,420
52,200
53,395
54,395
55,155
56,150
57,430
58,380
59,800
60,450
61,300
62,350
63,125
64,370
65,170
66,295
