"Package","Version"
"backports","1.5.1"
"base64enc","0.1-6"
"base64url","1.4"
"bbotk","1.12.0"
"bslib","0.12.0"
"cachem","1.1.0"
"callr","3.8.0"
"cellranger","1.1.0"
"checkmate","2.3.4"
"class","7.3-24"
"classInt","0.4-11"
"cli","3.6.6"
"cluster","2.1.8.3"
"cmprsk","2.2-12"
"codetools","0.2-20"
"collections","0.3.12"
"colorspace","2.1-3"
"cpp11","0.5.5"
"crayon","1.5.3"
"crew","1.3.2"
"data.table","1.18.4"
"DBI","1.3.0"
"diagram","1.6.5"
"dictionar6","0.1.3"
"digest","0.6.39"
"distr6","1.8.4"
"doParallel","1.0.17"
"dplyr","1.2.1"
"e1071","1.7-17"
"evaluate","1.0.5"
"exactextractr","0.10.1"
"farver","2.1.2"
"fastmap","1.2.0"
"fontawesome","0.5.3"
"foreach","1.5.2"
"foreign","0.8-91"
"Formula","1.2-6"
"fs","2.1.0"
"future","1.75.0"
"future.apply","1.20.2"
"generics","0.1.4"
"ggplot2","4.0.3"
"glmnet","5.0"
"globals","0.19.1"
"glue","1.8.1"
"gridExtra","2.3.1"
"gtable","0.3.6"
"highr","0.12"
"Hmisc","5.2-6"
"hms","1.1.4"
"htmlTable","2.5.0"
"htmltools","0.5.9"
"htmlwidgets","1.6.4"
"igraph","2.3.3"
"isoband","0.3.0"
"iterators","1.0.14"
"jquerylib","0.1.4"
"jsonlite","2.0.0"
"KernSmooth","2.23-27"
"knitr","1.51"
"labeling","0.4.3"
"later","1.4.8"
"lattice","0.23-1"
"lava","1.9.2"
"lgr","0.5.2"
"lifecycle","1.0.5"
"listenv","1.0.0"
"magrittr","2.0.5"
"MASS","7.3-66"
"Matrix","1.7-6"
"MatrixModels","0.5-4"
"matrixStats","1.5.0"
"memoise","2.0.1"
"mets","1.3.12"
"mime","0.13"
"mirai","2.7.2"
"mlbench","2.1-11"
"mlr3","1.7.1"
"mlr3cmprsk","0.0.5"
"mlr3extralearners","1.6.0.9000"
"mlr3filters","0.9.1"
"mlr3learners","0.15.1"
"mlr3mbo","1.2.1"
"mlr3measures","1.3.0"
"mlr3misc","0.22.0"
"mlr3pipelines","0.11.0"
"mlr3proba","0.8.10"
"mlr3spatiotempcv","2.3.5"
"mlr3tuning","1.6.1"
"mlr3tuningspaces","0.7.0"
"mlr3viz","0.11.1"
"moocore","0.3.2"
"multcomp","1.4-31"
"mvtnorm","1.4-2"
"nanonext","1.10.2"
"nlme","3.1-170"
"nnet","7.3-21"
"numDeriv","2016.8-1.1"
"ooplah","0.2.0"
"otel","0.2.0"
"palmerpenguins","0.1.1"
"paradox","1.0.1"
"parallelly","1.48.0"
"param6","0.2.4"
"patchwork","1.3.2"
"pillar","1.11.1"
"pkgconfig","2.0.3"
"plotrix","3.8-14"
"polspline","1.1.25"
"prettyunits","1.2.0"
"processx","3.9.0"
"prodlim","2026.03.11"
"progress","1.2.3"
"progressr","1.0.0"
"promises","1.5.0"
"proxy","0.4-29"
"PRROC","1.4"
"ps","1.9.3"
"Publish","2025.07.24"
"purrr","1.2.2"
"qs2","0.2.2"
"quantreg","6.1"
"R6","2.6.1"
"ranger","0.18.0"
"rappdirs","0.3.4"
"raster","3.6-32"
"rbibutils","2.4.1"
"RColorBrewer","1.1-3"
"Rcpp","1.1.2"
"RcppArmadillo","15.4.2-1"
"RcppEigen","0.3.4.0.2"
"RcppParallel","6.2.0"
"Rdpack","2.6.6"
"readxl","1.5.0"
"rematch","2.0.0"
"riskRegression","2026.03.11"
"rlang","1.3.0"
"rmarkdown","2.31"
"rms","8.1-1"
"rpart","4.1.27"
"rstudioapi","0.19.0"
"s2","1.1.11"
"S7","0.2.2"
"sandwich","3.1-3"
"sass","0.4.10"
"scales","1.4.0"
"secretbase","1.3.0"
"set6","0.2.6"
"sf","1.1-2"
"shape","1.4.6.1"
"sp","2.2-3"
"spacefillr","0.4.0"
"SparseM","1.84-2"
"SQUAREM","2026.1"
"stringfish","0.19.2"
"stringi","1.8.9"
"stringr","1.6.0"
"survdistr","0.0.3"
"survival","3.8-9"
"targets","1.12.0"
"terra","1.9-34"
"TH.data","1.1-5"
"tibble","3.3.1"
"tidyr","1.3.2"
"tidyselect","1.2.1"
"timereg","2.0.7"
"tinytex","0.60"
"units","1.0-1"
"utf8","1.2.6"
"uuid","1.2-2"
"vctrs","0.7.3"
"viridis","0.6.5"
"viridisLite","0.4.3"
"withr","3.0.3"
"wk","0.9.5"
"xfun","0.60"
"xgboost","3.2.1.1"
"yaml","2.3.12"
"zoo","1.9-0"
