id	group	sensor	kind	filename_glob	expected_count	original_location_hint	availability	required_for	notes
drone_pix4d_refl	drone_raw	drone	raster	*_MS_transparent_reflectance_*.tif	35	Pix4d/{SITE}_MS/4_index/reflectance/	external	reflectance stacks; all drone products	5 bands per site x 7 sites. Band token is blue/green/red/'red edge'/NIR. NOTE the space in 'red edge'.
drone_pix4d_ndvi	drone_raw	drone	raster	*_MS_index_ndvi.tif	7	Pix4d/{SITE}_MS/4_index/indices/ndvi/	external	Fig 5 comparison scripts	Pix4D native NDVI. A SECOND drone NDVI provenance exists (Drone_Data_VI). Confirm which the paper used.
drone_pix4d_dtm	drone_raw	drone	raster	*_MS_RGB_dtm.tif	7	Pix4d/{SITE}_MS_RGB/3_dsm_ortho/extras/dtm/	external	Terrain_Analysis.R	Terrain products are not used by any classification. Likely out of scope.
drone_pix4d_dsm	drone_raw	drone	raster	*_MS_RGB_dsm.tif	7	Pix4d/{SITE}_MS_RGB/3_dsm_ortho/	external	CHM derivation	Needed with the DTM to rebuild the CHM if drone_chm is not found.
drone_chm	drone_derived	drone	raster	*_CHM.tif	7	ReflStacks/	external	Drone+CHM predictor stacks	NO SCRIPT PRODUCES THIS. Read from the output dir. Highest-priority unknown for the drone arm.
drone_refl_stack	drone_derived	drone	raster	*_Refl_StackCrop.tif	7	ReflStacks/	zenodo	5-band drone stack	On Zenodo 18506271. Also rebuildable from drone_pix4d_refl.
drone_refl_stack_chm	drone_derived	drone	raster	*_Refl_StackCrop_CHM.tif	7	ReflStacks/	zenodo	build_cube; all drone models	On Zenodo 18506271. 6 bands: blue green red red_edge nir dsm.
drone_vi	drone_derived	drone	raster	*_{MSAVI,MSAVI2,MTVI,NDVI,SAVI}.tif	35	Drone_Data_VI/	zenodo	build_cube; ALLVI stacks	On Zenodo 18506271 as 'Drone Data VI.zip'. 5 VIs x 7 sites.
drone_aoi_clip	vector	drone	vector	*_clip.shp	7	Final_Drone_Survey_Data/{SITE}/ or /Clips/	external	build_cube mask; all grids	Small files. Critical and not archived.
drone_field_points	ground	drone	vector	*_Field_data_points_All_b30.shp	7	Final_Drone_Survey_Data/{SITE}/	in_repo	all drone training	Analysis/input_data/. 1056 records total vs 1024 reported in Table S4.
drone_field_points_train	ground	drone	vector	*_Field_data_points_train_b30.shp	7	Final_Drone_Survey_Data/{SITE}/	unknown	Planet_NDVI.R	Referenced only in commented-out code. May explain the 1056 vs 1024 discrepancy.
drone_height_points	ground	drone	vector	*_Prosopis_height_points_20b.shp	2	Final_Drone_Survey_Data/{SITE}/	in_repo	Table S9 plant-scale validation	Bokspits_1 n=56 and Struizendam_1 n=128 = 184. Matches Table S9.
drone_height_points_neltuma	ground	drone	vector	*_Neltuma_height_points_20b.shp	2	Final_Drone_Survey_Data/{SITE}/	unknown_lost	Neltuma height points_extraction_accuracy.R	Renamed variant referenced by script but absent. Probably identical to drone_height_points.
drone_rgb_ortho	drone_derived	drone	raster	*_MS_RGB_transparent_mosaic_group1.tif	7	Pix4d/{SITE}_MS_RGB/3_dsm_ortho/	external	Fig 3 photointerpretation	Large. Only needed for figure assembly and visual verification.
drone_classification_mlr3	classification	drone	raster	*_Predict_Map*.tif	7	MLR3_classifications/	zenodo	Figs 5 7 S1-S7; all cross-scale extraction	On Zenodo as 'Drone Data Final Classifications.zip'. WARNING original filenames carry browser-download suffixes ' (1)' and ' (2)' which are load-bearing in the scripts.
drone_classification_svm	classification	drone	raster	svm_pixel_level_*_stack_5_CHM_ALLVI.tif	7	Glenn-Prosopis-ML/data/	unknown	Planet and WV2 grid extraction	An EARLIER classification than drone_classification_mlr3. Determine which the paper used.
camel_thorn_points	ground	drone	vector	*_CT_points.shp	6	Camel_Thorn/	external	section 2.6 co-occurrence; the 63% claim	Struizendam_3 absent. Attribute 'Prosopis' is 0/1.
wv2_raw_order1	satellite_raw	wv2	raster	21OCT19084820-M2AS_R?C?-050132961020_01_P001.TIF	15	Satellite_Data/WV2/050132961020_01/050132961020_01_P001_MUL/	external	WV2 mosaic	1.6 m. Acquired 2021-10-19 08:48:20. ESA Third Party Mission - restricted licence.
wv2_raw_order2	satellite_raw	wv2	raster	21OCT19084743-M2AS_R?C1-050132961010_01_P001.TIF	4	Satellite_Data/WV2/050132961010_01/050132961010_01_P001_MUL/	external	WV2 east mosaic	2 m. Acquired 2021-10-19 08:47:43.
wv2_raw_order3	satellite_raw	wv2	raster	*050132273010_01_P002*.TIF	0	unknown	unknown	WV2_training_points_extract.R	A THIRD product ID appears only as band names in that script. Either a further delivery or a stale name. Resolve on the server.
wv2_mosaic_16m	satellite_derived	wv2	raster	W_Boravast_1_6_m.TIF	1	Satellite_Data/WV2/1_6_m_mosaic/	derivable	WV2 products	Rebuildable from wv2_raw_order1.
wv2_corrected_16m	satellite_derived	wv2	raster	WV2_Corrected.*	1	Satellite_Data/WV2/1_6_m_mosaic/	external	WV2 grids VIs training extraction	NO SCRIPT PRODUCES THIS. Co-registration reference for everything. Critical unknown.
wv2_mosaic_2m	satellite_derived	wv2	raster	E_Boravast_2_m*.TIF	3	Satellite_Data/WV2/2_m_mosaic/	derivable	merged mosaic	Includes _wide and _wide_Corrected variants. Note .tif vs .TIF inconsistency.
wv2_merged	satellite_derived	wv2	raster	WV2_merged_corrected*.TIF	2	Satellite_Data/WV2/merged_mosaic/	derivable	WV2 VIs; hex extraction	fun=max and fun=mean variants both written.
wv2_aoi	vector	wv2	vector	WV2_clip*.shp	2	Satellite_Data/WV2/AOI/	external	grid creation; study area	WV2_clip and WV2_clip_wide. Needed to establish the 445 km2 study area.
wv2_grids	vector	wv2	vector	*_WV2_grid.shp	8	Satellite_Data/WV2/WV2_Grids/	derivable	fractional cover extraction	7 sites plus WV2-wide. Rebuildable from wv2_corrected_16m plus drone_aoi_clip.
wv2_vi	satellite_derived	wv2	raster	WV2_{MSAVI,MSAVI2,MTVI,NDVI,SAVI}.tif	5	Satellite_Data/WV2/merged_mosaic/ or 1_6_m_mosaic/	derivable	WV2 predictor stack	Written to merged_mosaic but read from 1_6_m_mosaic. Directory mismatch.
wv2_classification_rf	classification	wv2	raster	RF_WV2*.tif	4	Satellite_Data/WV2/1_6_m_mosaic/ and merged_mosaic/	external	Figs 8 S10 S11; Table 1	Includes RF_WV2_additional RF_WV2 RF_WV2_Prosopis_only and RF_WV2_all_train_val_combined_b30_additional_WV2_merged_mosaic. SEE OPEN QUESTION 6.1 - the hex extraction behind Table 1 uses these RF products not the mlr3 output.
wv2_classification_mlr3	classification	wv2	raster	WV2e_Predict_Map*.tif	1	Glenn-Prosopis-ML/data_out/WV2e/	zenodo	Fig 6C	On Zenodo as 'Satellite Data Final Classifications.zip'.
wv2_train_points_combined	ground	wv2	vector	Boravast_all_train_val_combined_b30_WV2.shp	1	Final_Drone_Survey_Data/	external	build_ml_df_WV2 field-only baseline	NEEDED FOR THE 6.1% IMPROVEMENT CLAIM. High priority.
planet_bokspits_monthly	satellite_raw	planet	raster	Bokspits_2022_??_??.tif	12	Satellite_Data/Planet/2022_Planetscope/	external	Planet VIs and phenology	NICFI SuperDove. Monthly 2022.
planet_boravast_monthly	satellite_raw	planet	raster	Boravast_2022_??_??.tif	12	Satellite_Data/Planet/Planet_Scope_Boravast/	external	Planet classification	NICFI SuperDove. The 2022-09-09 scene is the one used for classification.
planet_struizendam	satellite_raw	planet	raster	Struizendam_2022_09_07.tif	1	Satellite_Data/Planet/2022_Planetscope/	derivable	Struizendam Planet grids	Producible by legacy_imported/preprocessing/Planet_Struizendam_Merge.R.
planet_corrected	satellite_derived	planet	raster	Boravast_2022_09_09_Corrected.TIF	1	Satellite_Data/Planet/Planet_Scope_Boravast/	derivable	Planet grids and classification	Manual shift(0,1) applied. See findings 1.x on co-registration.
planet_grids	vector	planet	vector	*_Planet_grid.shp	8	Satellite_Data/Planet/Planet_Grids/	derivable	fractional cover extraction	Also read from 2022_Planetscope/ and Training_Data/ in different scripts. Three locations for one layer.
planet_grid_95	vector	planet	vector	Bokspits_1_Planet_Grid_95.shp	1	Satellite_Data/Planet/Training_Data/	unknown_lost	Drone_vs_Planet_Grid_Extract_95.R	Capital G. Never written by any script.
planet_vi	satellite_derived	planet	raster	Boravast_2022_*_{MSAVI,MSAVI2,MTVI,NDVI,SAVI}.tif	60	Satellite_Data/Planet/Planet_Scope_Boravast/	derivable	Planet predictor stack	Plus 14 annual summary rasters (Mean SD max MaxoverSD MeanoverSD AprilminusSeptoverSD).
planet_classification	classification	planet	raster	Boravast_2022_09_Predict_Map*.tif	1	Satellite_Data/Planet/	zenodo	Fig 7C	Tagged _30_90 in one script and _400_85 in another. Resolve which is reported.
s2_stack	satellite_raw	s2	raster	S2_stack.*	1	Satellite_Data/S2/	external	S2 VIs and classification	4 bands blue green red nir. Sentinel-2 L2A 2022-09-07 tile T34JDR.
s2_large_stack	satellite_raw	s2	raster	S2_Large_stack.*	1	Satellite_Data/S2/	external	S2 grids; wider extent	Comment in S2_Polygon_Grid_Creation.R implies this is in WGS84 while everything else is EPSG:32734 and the reprojection line is commented out. CHECK THE CRS.
s2_rededge	satellite_raw	s2	raster	T34JDR_20220907T081609_B07_clip.tif	1	Satellite_Data/S2/files/	external	REVI index	20 m band resampled to 10 m.
s2_grids	vector	s2	vector	*_S2_grid.shp	8	Satellite_Data/S2/S2_Grids/	derivable	fractional cover extraction	7 sites plus WV2-wide.
s2_vi	satellite_derived	s2	raster	S2_{MSAVI,MSAVI2,MTVI,NDVI,SAVI,REVI}.tif	6	Satellite_Data/S2/	derivable	S2 predictor stack	S2_Large variants lack REVI.
s2_classification	classification	s2	raster	S2_Predict_Map*.tif	1	Satellite_Data/S2/ and MLR3_classifications/	zenodo	Fig 7D	Tagged _60_65.
lst_classification	classification	landsat	raster	LS8_Predict_Map*.tif	2	Satellite_Data/LST/LS8/	external	optional Fig 5 fourth panel	Landsat arm not reported in the manuscript. See open question 6.3.
trend_images	satellite_derived	multi	raster	Trend_Img_NDVI_*.tif	4	Satellite_Data/Trend_Image_Data/{Landsat,S2,WV2,Planet}/	external	trend analysis	Referenced only in commented-out code. Likely out of scope.
hex_grids	vector	multi	vector	hex_*m_wv2_wide_clip*.shp	3	GIS_aggregate/	external	Fig 8; Table 1	100 m 250 m 500 m. CONFIRMS Table S8's 'hexagon' wording over Fig 8B's 'grid cells'. Not produced by any script found.
buffers_settlement	vector	multi	vector	1km_concentric_buffers_clipped_border.shp	1	Final_Drone_Survey_Data/Buffers/	external	Fig S10	Concentric 1 km buffers around settlements.
buffers_road	vector	multi	vector	1km_concentric_buffers_road_clipped_border.shp	1	Final_Drone_Survey_Data/Buffers/	external	Fig S11	Concentric 1 km buffers around main roads.
train_wv2	training_set	wv2	table	WV2_*equal_class_size*.rds	4	Glenn-Prosopis-ML/data_in/WV2e/ and /WV2/	external	build_ml_df_WV2e	THE FIVE-RUNG LADDER. Determining which rung was used resolves open question 6.4.
train_planet	training_set	planet	table	Planet_*equal_class_size*.rds	4	Glenn-Prosopis-ML/data_in/Planet_2022/ and /Planet/	external	build_ml_df_Planet_e	Written to Planet_2022 but read from Planet. One path is wrong.
train_s2	training_set	s2	table	S2_*equal_class_size*.rds	4	Glenn-Prosopis-ML/data_in/S2/	external	build_ml_df_S2	Script writes _60_train_65 but reads _400_train_85 which it never produces.
bench_workbooks	results	multi	table	MLR_bench_results_*.xlsx	32	Glenn-Prosopis-ML/data_out/bench/ or /Bench/	external	Figs 4A 4B 6A 6B	28 drone (7 sites x 4 stacks) plus 4 WV2. THE SOURCE OF EVERY REPORTED ACCURACY.
confusion_workbooks	results	multi	table	res.preds_svm_*.xlsx	32	Glenn-Prosopis-ML/data_out/Confusion/	external	Fig 4C; class-level accuracies	Note one script reads 're.preds' - a typo variant.
bench_master	results	multi	table	bench_master*.xlsx	2	Glenn-Prosopis-ML/data_out/bench/	derivable	Figs 4A 4B	Also appears as input_data/bench_master_drone.xlsx and _simplified_drone.xlsx.
confusion_master	results	multi	table	confusion_master*.xlsx	2	Glenn-Prosopis-ML/data_out/Confusion/	derivable	Fig 4C	Also as input_data/confusion_master_simplified_Prosopis.xlsx.
cover_tables	results	multi	table	Drone_extract_prosopis_cover_*Grid.xlsx	4	slade-prosopis/input_data/	derivable	Fig 5	S2 LST Planet WV2 grids. Schemas differ - S2 and LST carry FID and Planet and WV2 do not.
